class,credit_amount,log_credit_amount,checking_status,duration,credit_history,purpose,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,age_bin,duration_bin,is_rent
1,1169.0,7.064759027791802,<0,6,critical/other existing credit,radio/tv,no known savings,>=7,4,male single,none,4,real estate,67,none,own,2,skilled,1,yes,yes,60+,<=12,0
2,5951.0,8.691482576512929,0<=X<200,48,existing paid,radio/tv,<100,1<=X<4,2,female div/dep/mar,none,2,real estate,22,none,own,1,skilled,1,none,yes,18-25,37-60,0
1,2096.0,7.64826303090192,no checking,12,critical/other existing credit,education,<100,4<=X<7,2,male single,none,3,real estate,49,none,own,1,unskilled resident,2,none,yes,46-60,<=12,0
1,7882.0,8.972463821059907,<0,42,existing paid,furniture/equipment,<100,4<=X<7,2,male single,guarantor,4,life insurance,45,none,for free,1,skilled,2,none,yes,36-45,37-60,0
2,4870.0,8.491054533806542,<0,24,delayed previously,new car,<100,1<=X<4,3,male single,none,4,no known property,53,none,for free,2,skilled,2,none,yes,46-60,13-24,0
1,9055.0,9.111182800442965,no checking,36,existing paid,education,no known savings,1<=X<4,2,male single,none,4,no known property,35,none,for free,1,unskilled resident,2,yes,yes,26-35,25-36,0
1,2835.0,7.950149887652018,no checking,24,existing paid,furniture/equipment,500<=X<1000,>=7,3,male single,none,4,life insurance,53,none,own,1,skilled,1,none,yes,46-60,13-24,0
1,6948.0,8.846353043314327,0<=X<200,36,existing paid,used car,<100,1<=X<4,2,male single,none,2,car,35,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,26-35,25-36,1
1,3059.0,8.026170194946426,no checking,12,existing paid,radio/tv,>=1000,4<=X<7,2,male div/sep,none,4,real estate,61,none,own,1,unskilled resident,1,none,yes,60+,<=12,0
2,5234.0,8.563122123304638,0<=X<200,30,critical/other existing credit,new car,<100,unemployed,4,male mar/wid,none,2,car,28,none,own,2,high qualif/self emp/mgmt,1,none,yes,26-35,25-36,0
2,1295.0,7.16703787691222,0<=X<200,12,existing paid,new car,<100,<1,3,female div/dep/mar,none,1,car,25,none,rent,1,skilled,1,none,yes,18-25,<=12,1
2,4308.0,8.368461137615839,<0,48,existing paid,business,<100,<1,3,female div/dep/mar,none,4,life insurance,24,none,rent,1,skilled,1,none,yes,18-25,37-60,1
1,1567.0,7.357556200910353,0<=X<200,12,existing paid,radio/tv,<100,1<=X<4,1,female div/dep/mar,none,1,car,22,none,own,1,skilled,1,yes,yes,18-25,<=12,0
2,1199.0,7.090076835776092,<0,24,critical/other existing credit,new car,<100,>=7,4,male single,none,4,car,60,none,own,2,unskilled resident,1,none,yes,46-60,13-24,0
1,1403.0,7.247080584585756,<0,15,existing paid,new car,<100,1<=X<4,2,female div/dep/mar,none,4,car,28,none,rent,1,skilled,1,none,yes,26-35,13-24,1
