class,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,credit_per_month,age_bin,duration_bin,is_rent,credit_per_age
1,<0,6,critical/other existing credit,radio/tv,1169.0,no known savings,>=7,4,male single,none,4,real estate,67,none,own,2,skilled,1,yes,yes,194.83333333333334,60+,<=12,0,17.44776119402985
2,0<=X<200,48,existing paid,radio/tv,5951.0,<100,1<=X<4,2,female div/dep/mar,none,2,real estate,22,none,own,1,skilled,1,none,yes,123.97916666666667,18-25,37-60,0,270.5
1,no checking,12,critical/other existing credit,education,2096.0,<100,4<=X<7,2,male single,none,3,real estate,49,none,own,1,unskilled resident,2,none,yes,174.66666666666666,46-60,<=12,0,42.775510204081634
1,<0,42,existing paid,furniture/equipment,7882.0,<100,4<=X<7,2,male single,guarantor,4,life insurance,45,none,for free,1,skilled,2,none,yes,187.66666666666666,36-45,37-60,0,175.15555555555557
2,<0,24,delayed previously,new car,4870.0,<100,1<=X<4,3,male single,none,4,no known property,53,none,for free,2,skilled,2,none,yes,202.91666666666666,46-60,13-24,0,91.88679245283019
1,no checking,36,existing paid,education,9055.0,no known savings,1<=X<4,2,male single,none,4,no known property,35,none,for free,1,unskilled resident,2,yes,yes,251.52777777777777,26-35,25-36,0,258.7142857142857
1,no checking,24,existing paid,furniture/equipment,2835.0,500<=X<1000,>=7,3,male single,none,4,life insurance,53,none,own,1,skilled,1,none,yes,118.125,46-60,13-24,0,53.490566037735846
1,0<=X<200,36,existing paid,used car,6948.0,<100,1<=X<4,2,male single,none,2,car,35,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,193.0,26-35,25-36,1,198.5142857142857
1,no checking,12,existing paid,radio/tv,3059.0,>=1000,4<=X<7,2,male div/sep,none,4,real estate,61,none,own,1,unskilled resident,1,none,yes,254.91666666666666,60+,<=12,0,50.14754098360656
2,0<=X<200,30,critical/other existing credit,new car,5234.0,<100,unemployed,4,male mar/wid,none,2,car,28,none,own,2,high qualif/self emp/mgmt,1,none,yes,174.46666666666667,26-35,25-36,0,186.92857142857142
2,0<=X<200,12,existing paid,new car,1295.0,<100,<1,3,female div/dep/mar,none,1,car,25,none,rent,1,skilled,1,none,yes,107.91666666666667,18-25,<=12,1,51.8
2,<0,48,existing paid,business,4308.0,<100,<1,3,female div/dep/mar,none,4,life insurance,24,none,rent,1,skilled,1,none,yes,89.75,18-25,37-60,1,179.5
1,0<=X<200,12,existing paid,radio/tv,1567.0,<100,1<=X<4,1,female div/dep/mar,none,1,car,22,none,own,1,skilled,1,yes,yes,130.58333333333334,18-25,<=12,0,71.22727272727273
2,<0,24,critical/other existing credit,new car,1199.0,<100,>=7,4,male single,none,4,car,60,none,own,2,unskilled resident,1,none,yes,49.958333333333336,46-60,13-24,0,19.983333333333334
1,<0,15,existing paid,new car,1403.0,<100,1<=X<4,2,female div/dep/mar,none,4,car,28,none,rent,1,skilled,1,none,yes,93.53333333333333,26-35,13-24,1,50.107142857142854
2,<0,24,existing paid,radio/tv,1282.0,100<=X<500,1<=X<4,4,female div/dep/mar,none,2,car,32,none,own,1,unskilled resident,1,none,yes,53.416666666666664,26-35,13-24,0,40.0625
1,no checking,24,critical/other existing credit,radio/tv,2424.0,no known savings,>=7,4,male single,none,4,life insurance,53,none,own,2,skilled,1,none,yes,101.0,46-60,13-24,0,45.735849056603776
1,<0,30,no credits/all paid,business,8072.0,no known savings,<1,2,male single,none,3,car,25,bank,own,3,skilled,1,none,yes,269.06666666666666,18-25,25-36,0,322.88
2,0<=X<200,24,existing paid,used car,12579.0,<100,>=7,4,female div/dep/mar,none,2,no known property,44,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,524.125,36-45,13-24,0,285.8863636363636
1,no checking,24,existing paid,radio/tv,3430.0,500<=X<1000,>=7,3,male single,none,2,car,31,none,own,1,skilled,2,yes,yes,142.91666666666666,26-35,13-24,0,110.64516129032258
1,no checking,9,critical/other existing credit,new car,2134.0,<100,1<=X<4,4,male single,none,4,car,48,none,own,3,skilled,1,yes,yes,237.11111111111111,46-60,<=12,0,44.458333333333336
1,<0,6,existing paid,radio/tv,2647.0,500<=X<1000,1<=X<4,2,male single,none,3,real estate,44,none,rent,1,skilled,2,none,yes,441.1666666666667,36-45,<=12,1,60.15909090909091
1,<0,10,critical/other existing credit,new car,2241.0,<100,<1,1,male single,none,3,real estate,48,none,rent,2,unskilled resident,2,none,no,224.1,46-60,<=12,1,46.6875
1,0<=X<200,12,critical/other existing credit,used car,1804.0,100<=X<500,<1,3,male single,none,4,life insurance,44,none,own,1,skilled,1,none,yes,150.33333333333334,36-45,<=12,0,41.0
1,no checking,10,critical/other existing credit,furniture/equipment,2069.0,no known savings,1<=X<4,2,male mar/wid,none,1,car,26,none,own,2,skilled,1,none,no,206.9,26-35,<=12,0,79.57692307692308
1,<0,6,existing paid,furniture/equipment,1374.0,<100,1<=X<4,1,male single,none,2,real estate,36,bank,own,1,unskilled resident,1,yes,yes,229.0,36-45,<=12,0,38.166666666666664
1,no checking,6,no credits/all paid,radio/tv,426.0,<100,>=7,4,male mar/wid,none,4,car,39,none,own,1,unskilled resident,1,none,yes,71.0,36-45,<=12,0,10.923076923076923
1,>=200,12,all paid,radio/tv,409.0,>=1000,1<=X<4,3,female div/dep/mar,none,3,real estate,42,none,rent,2,skilled,1,none,yes,34.083333333333336,36-45,<=12,1,9.738095238095237
1,0<=X<200,7,existing paid,radio/tv,2415.0,<100,1<=X<4,3,male single,guarantor,2,real estate,34,none,own,1,skilled,1,none,yes,345.0,26-35,<=12,0,71.02941176470588
2,<0,60,delayed previously,business,6836.0,<100,>=7,3,male single,none,4,no known property,63,none,own,2,skilled,1,yes,yes,113.93333333333334,60+,37-60,0,108.5079365079365
1,0<=X<200,18,existing paid,business,1913.0,>=1000,<1,3,male mar/wid,none,3,real estate,36,bank,own,1,skilled,1,yes,yes,106.27777777777777,36-45,13-24,0,53.138888888888886
1,<0,24,existing paid,furniture/equipment,4020.0,<100,1<=X<4,2,male single,none,2,car,27,stores,own,1,skilled,1,none,yes,167.5,26-35,13-24,0,148.88888888888889
1,0<=X<200,18,existing paid,new car,5866.0,100<=X<500,1<=X<4,2,male single,none,2,car,30,none,own,2,skilled,1,yes,yes,325.8888888888889,26-35,13-24,0,195.53333333333333
1,no checking,12,critical/other existing credit,business,1264.0,no known savings,>=7,4,male single,none,4,no known property,57,none,rent,1,unskilled resident,1,none,yes,105.33333333333333,46-60,<=12,1,22.17543859649123
1,>=200,12,existing paid,furniture/equipment,1474.0,<100,<1,4,female div/dep/mar,none,1,life insurance,33,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,122.83333333333333,26-35,<=12,0,44.666666666666664
2,0<=X<200,45,critical/other existing credit,radio/tv,4746.0,<100,<1,4,male single,none,2,life insurance,25,none,own,2,unskilled resident,1,none,yes,105.46666666666667,18-25,37-60,0,189.84
1,no checking,48,critical/other existing credit,education,6110.0,<100,1<=X<4,1,male single,none,3,no known property,31,bank,for free,1,skilled,1,yes,yes,127.29166666666667,26-35,37-60,0,197.09677419354838
2,>=200,18,existing paid,radio/tv,2100.0,<100,1<=X<4,4,male single,co applicant,2,real estate,37,stores,own,1,skilled,1,none,yes,116.66666666666667,36-45,13-24,0,56.75675675675676
1,>=200,10,existing paid,domestic appliance,1225.0,<100,1<=X<4,2,male single,none,2,car,37,none,own,1,skilled,1,yes,yes,122.5,36-45,<=12,0,33.108108108108105
1,0<=X<200,9,existing paid,radio/tv,458.0,<100,1<=X<4,4,male single,none,3,real estate,24,none,own,1,skilled,1,none,yes,50.888888888888886,18-25,<=12,0,19.083333333333332
1,no checking,30,existing paid,radio/tv,2333.0,500<=X<1000,>=7,4,male single,none,2,car,30,bank,own,1,high qualif/self emp/mgmt,1,none,yes,77.76666666666667,26-35,25-36,0,77.76666666666667
1,0<=X<200,12,existing paid,radio/tv,1158.0,500<=X<1000,1<=X<4,3,male div/sep,none,1,car,26,none,own,1,skilled,1,yes,yes,96.5,26-35,<=12,0,44.53846153846154
1,0<=X<200,18,delayed previously,repairs,6204.0,<100,1<=X<4,2,male single,none,4,real estate,44,none,own,1,unskilled resident,2,yes,yes,344.6666666666667,36-45,13-24,0,141.0
1,<0,30,critical/other existing credit,used car,6187.0,100<=X<500,4<=X<7,1,male mar/wid,none,4,car,24,none,rent,2,skilled,1,none,yes,206.23333333333332,18-25,25-36,1,257.7916666666667
2,<0,48,critical/other existing credit,used car,6143.0,<100,>=7,4,female div/dep/mar,none,4,no known property,58,stores,for free,2,unskilled resident,1,none,yes,127.97916666666667,46-60,37-60,0,105.91379310344827
1,no checking,11,critical/other existing credit,new car,1393.0,<100,<1,4,female div/dep/mar,none,4,car,35,none,own,2,high qualif/self emp/mgmt,1,none,yes,126.63636363636364,26-35,<=12,0,39.8
1,no checking,36,existing paid,radio/tv,2299.0,500<=X<1000,>=7,4,male single,none,4,car,39,none,own,1,skilled,1,none,yes,63.861111111111114,36-45,25-36,0,58.94871794871795
1,<0,6,existing paid,used car,1352.0,500<=X<1000,unemployed,1,female div/dep/mar,none,2,life insurance,23,none,rent,1,unemp/unskilled non res,1,yes,yes,225.33333333333334,18-25,<=12,1,58.78260869565217
1,no checking,11,critical/other existing credit,new car,7228.0,<100,1<=X<4,1,male single,none,4,life insurance,39,none,own,2,unskilled resident,1,none,yes,657.0909090909091,36-45,<=12,0,185.33333333333334
1,no checking,12,existing paid,radio/tv,2073.0,100<=X<500,1<=X<4,4,female div/dep/mar,co applicant,2,real estate,28,none,own,1,skilled,1,none,yes,172.75,26-35,<=12,0,74.03571428571429
