"class","credit_amount","log_credit_amount","checking_status","duration","credit_history","purpose","savings_status","employment","installment_commitment","personal_status","other_parties","residence_since","property_magnitude","age","other_payment_plans","housing","existing_credits","job","num_dependents","own_telephone","foreign_worker","age_bin","duration_bin","is_rent"
"2","1295",7.16703787691222,0,"12",3,4,2,2,"3",0,2,"1",0,"25",1,2,"1",1,"1",0,1,0,4,"1"
"1","1403",7.247080584585756,1,"15",3,4,2,0,"2",0,2,"4",0,"28",1,2,"1",1,"1",0,1,1,0,"1"
"1","2241",7.715123603632105,1,"10",1,4,2,2,"1",3,2,"3",3,"48",1,2,"2",3,"2",0,0,3,4,"1"
"1","1804",7.498315870766981,0,"12",1,9,0,2,"3",3,2,"4",1,"44",1,1,"1",1,"1",0,1,2,4,"0"
"1","4020",8.299285906897275,1,"24",3,3,2,0,"2",3,2,"2",0,"27",2,1,"1",1,"1",0,1,1,0,"0"
"1","5866",8.67709870892586,0,"18",3,4,0,0,"2",3,2,"2",0,"30",1,1,"2",1,"1",1,1,1,0,"0"
"1","1393",7.239932591320469,3,"11",1,4,2,2,"4",0,2,"4",0,"35",1,1,"2",0,"1",0,1,1,4,"0"
"1","2299",7.7406644019172415,3,"36",3,6,1,3,"4",3,2,"4",0,"39",1,1,"1",1,"1",0,1,2,1,"0"
"1","5965",8.693831965074693,0,"27",2,9,2,3,"1",3,2,"2",0,"30",1,1,"2",0,"1",1,1,1,1,"0"
"2","2225",7.70796153183549,0,"36",2,4,2,3,"4",3,2,"4",2,"57",0,0,"2",1,"1",1,1,3,1,"0"
"1","1007",6.915723448631314,0,"12",3,4,3,0,"4",2,2,"1",3,"22",1,1,"1",1,"1",0,1,0,4,"0"
"1","730",6.594413459749778,3,"7",1,6,4,3,"4",3,2,"2",1,"46",1,2,"2",3,"1",1,1,3,4,"1"
"2","1977",7.589841512182657,1,"36",3,2,4,3,"4",3,2,"4",2,"40",1,1,"1",0,"1",1,1,2,1,"0"
"1","9436",9.152393412021333,3,"54",4,9,4,0,"2",3,2,"2",1,"39",1,1,"1",3,"2",0,1,2,2,"0"
"2","5943",8.690137586397595,3,"24",3,6,4,2,"1",0,2,"1",0,"44",1,1,"2",1,"1",1,1,2,0,"0"
"2","1108",7.011213987350367,1,"12",4,7,2,1,"4",3,2,"3",3,"28",1,1,"2",1,"1",0,1,1,4,"0"
"1","618",6.428105272684596,3,"12",1,6,2,3,"4",3,2,"4",3,"56",1,1,"1",1,"1",0,1,3,4,"0"
"2","15945",9.67696329306244,0,"54",4,0,2,2,"3",3,2,"4",2,"58",1,2,"1",1,"1",1,1,3,2,"1"
"1","7721",8.951828676824181,1,"24",3,3,4,2,"1",0,2,"2",1,"30",1,1,"1",1,"1",1,0,1,0,"0"
"2","4281",8.362175469149628,1,"33",1,3,1,0,"1",0,2,"4",0,"23",1,1,"2",1,"1",0,1,0,1,"0"
"2","1835",7.515344571180436,1,"21",3,6,2,0,"3",0,2,"2",3,"25",1,1,"2",1,"1",1,1,0,0,"0"
"2","1924",7.562681246721884,0,"18",3,3,4,2,"4",0,2,"3",3,"27",1,2,"1",1,"1",0,1,1,0,"1"
"2","3499",8.160518247477505,1,"12",1,4,2,0,"3",0,0,"2",3,"29",1,1,"2",1,"1",0,1,1,4,"0"
"1","1984",7.59337419312129,3,"18",3,3,2,0,"4",3,2,"4",2,"47",0,0,"2",1,"1",0,1,3,0,"0"
"1","709",6.565264970035361,2,"6",3,4,3,2,"2",2,2,"2",3,"27",1,1,"1",2,"1",0,0,1,4,"0"
"1","4795",8.475537516147405,0,"36",3,6,2,2,"4",0,2,"1",2,"30",1,1,"1",0,"1",1,1,1,1,"0"
