"class","checking_status","duration","credit_history","purpose","credit_amount","savings_status","employment","installment_commitment","personal_status","other_parties","residence_since","property_magnitude","age","other_payment_plans","housing","existing_credits","job","num_dependents","own_telephone","foreign_worker","credit_per_month","age_bin","duration_bin","is_rent","credit_per_age"
"2",0,"12",3,4,"1295",2,2,"3",0,2,"1",0,"25",1,2,"1",1,"1",0,1,107.91666666666669,0,4,"1",51.8
"1",1,"15",3,4,"1403",2,0,"2",0,2,"4",0,"28",1,2,"1",1,"1",0,1,93.53333333333332,1,0,"1",50.107142857142854
"1",1,"10",1,4,"2241",2,2,"1",3,2,"3",3,"48",1,2,"2",3,"2",0,0,224.1,3,4,"1",46.6875
"1",0,"12",1,9,"1804",0,2,"3",3,2,"4",1,"44",1,1,"1",1,"1",0,1,150.33333333333334,2,4,"0",41.0
"1",1,"24",3,3,"4020",2,0,"2",3,2,"2",0,"27",2,1,"1",1,"1",0,1,167.5,1,0,"0",148.88888888888889
"1",0,"18",3,4,"5866",0,0,"2",3,2,"2",0,"30",1,1,"2",1,"1",1,1,325.8888888888889,1,0,"0",195.53333333333333
"1",3,"11",1,4,"1393",2,2,"4",0,2,"4",0,"35",1,1,"2",0,"1",0,1,126.63636363636364,1,4,"0",39.8
"1",3,"36",3,6,"2299",1,3,"4",3,2,"4",0,"39",1,1,"1",1,"1",0,1,63.861111111111114,2,1,"0",58.94871794871795
"1",0,"27",2,9,"5965",2,3,"1",3,2,"2",0,"30",1,1,"2",0,"1",1,1,220.92592592592592,1,1,"0",198.83333333333337
"2",0,"36",2,4,"2225",2,3,"4",3,2,"4",2,"57",0,0,"2",1,"1",1,1,61.80555555555556,3,1,"0",39.03508771929825
"1",0,"12",3,4,"1007",3,0,"4",2,2,"1",3,"22",1,1,"1",1,"1",0,1,83.91666666666667,0,4,"0",45.77272727272727
"1",3,"7",1,6,"730",4,3,"4",3,2,"2",1,"46",1,2,"2",3,"1",1,1,104.28571428571428,3,4,"1",15.869565217391305
"2",1,"36",3,2,"1977",4,3,"4",3,2,"4",2,"40",1,1,"1",0,"1",1,1,54.916666666666664,2,1,"0",49.425
"1",3,"54",4,9,"9436",4,0,"2",3,2,"2",1,"39",1,1,"1",3,"2",0,1,174.74074074074073,2,2,"0",241.94871794871796
"2",3,"24",3,6,"5943",4,2,"1",0,2,"1",0,"44",1,1,"2",1,"1",1,1,247.625,2,0,"0",135.0681818181818
"2",1,"12",4,7,"1108",2,1,"4",3,2,"3",3,"28",1,1,"2",1,"1",0,1,92.33333333333331,1,4,"0",39.57142857142857
"1",3,"12",1,6,"618",2,3,"4",3,2,"4",3,"56",1,1,"1",1,"1",0,1,51.5,3,4,"0",11.035714285714286
"2",0,"54",4,0,"15945",2,2,"3",3,2,"4",2,"58",1,2,"1",1,"1",1,1,295.27777777777777,3,2,"1",274.91379310344826
"1",1,"24",3,3,"7721",4,2,"1",0,2,"2",1,"30",1,1,"1",1,"1",1,0,321.7083333333333,1,0,"0",257.3666666666667
"2",1,"33",1,3,"4281",1,0,"1",0,2,"4",0,"23",1,1,"2",1,"1",0,1,129.72727272727272,0,1,"0",186.1304347826087
"2",1,"21",3,6,"1835",2,0,"3",0,2,"2",3,"25",1,1,"2",1,"1",1,1,87.38095238095238,0,0,"0",73.4
"2",0,"18",3,3,"1924",4,2,"4",0,2,"3",3,"27",1,2,"1",1,"1",0,1,106.88888888888889,1,0,"1",71.25925925925925
"2",1,"12",1,4,"3499",2,0,"3",0,0,"2",3,"29",1,1,"2",1,"1",0,1,291.5833333333333,1,4,"0",120.65517241379312
"1",3,"18",3,3,"1984",2,0,"4",3,2,"4",2,"47",0,0,"2",1,"1",0,1,110.22222222222224,3,0,"0",42.212765957446805
"1",2,"6",3,4,"709",3,2,"2",2,2,"2",3,"27",1,1,"1",2,"1",0,0,118.16666666666669,1,4,"0",26.25925925925926
"1",0,"36",3,6,"4795",2,2,"4",0,2,"1",2,"30",1,1,"1",0,"1",1,1,133.19444444444446,1,1,"0",159.83333333333334
"1",1,"27",3,6,"3416",2,0,"3",3,2,"2",0,"27",1,1,"1",0,"1",0,1,126.51851851851852,1,1,"0",126.51851851851852
"1",0,"48",0,0,"3566",0,1,"4",3,2,"2",0,"30",1,1,"1",1,"1",0,1,74.29166666666667,1,2,"0",118.86666666666666
"1",3,"18",1,6,"1582",3,3,"4",3,2,"4",0,"46",1,1,"2",1,"1",0,1,87.88888888888889,3,0,"0",34.391304347826086
"1",3,"6",3,6,"1346",0,3,"2",3,2,"4",2,"42",0,0,"1",1,"2",1,1,224.33333333333337,2,4,"0",32.04761904761905
"1",0,"8",3,6,"1414",2,0,"4",3,1,"2",3,"33",1,1,"1",1,"1",0,0,176.75,1,4,"0",42.84848484848485
"1",1,"12",3,3,"2577",2,0,"2",1,2,"1",0,"42",1,1,"1",1,"1",0,1,214.75,2,4,"0",61.357142857142854
"1",3,"12",3,6,"1963",2,1,"4",3,2,"2",0,"31",1,2,"2",0,"2",1,1,163.58333333333334,1,4,"1",63.32258064516129
"1",3,"15",1,6,"1360",2,0,"4",3,2,"2",1,"31",1,1,"2",1,"1",0,1,90.66666666666669,1,0,"0",43.87096774193548
"1",0,"16",1,4,"1175",2,4,"2",3,2,"3",0,"68",1,0,"3",2,"1",1,1,73.4375,4,0,"0",17.279411764705884
"2",1,"12",3,6,"674",0,1,"4",2,2,"1",1,"20",1,1,"1",1,"1",0,1,56.166666666666664,0,4,"0",33.7
"2",0,"27",3,0,"3915",2,0,"4",3,2,"2",0,"36",1,1,"1",1,"2",1,1,145.0,2,1,"0",108.75
"1",0,"24",3,9,"2760",4,3,"4",3,2,"4",2,"36",0,0,"1",1,"1",1,1,115.0,2,0,"0",76.66666666666667
"1",3,"9",1,2,"936",1,3,"4",3,2,"2",0,"52",1,1,"2",1,"1",1,1,104.0,3,4,"0",18.0
"1",3,"27",2,0,"5117",2,1,"3",3,2,"4",0,"26",1,1,"2",1,"1",0,1,189.5185185185185,1,1,"0",196.80769230769232
"1",3,"9",1,6,"3074",4,0,"1",3,2,"2",3,"33",1,1,"2",1,"2",0,1,341.55555555555554,1,4,"0",93.15151515151516
"1",3,"36",3,6,"3835",4,3,"2",0,2,"4",3,"45",1,1,"1",3,"1",1,1,106.52777777777776,2,1,"0",85.22222222222223
"1",0,"6",1,8,"932",4,1,"1",0,2,"3",1,"39",1,1,"2",3,"1",0,1,155.33333333333334,2,4,"0",23.897435897435894
"1",3,"15",3,9,"4657",2,0,"3",3,2,"2",0,"30",1,1,"1",1,"1",1,1,310.46666666666664,1,0,"0",155.23333333333332
"1",0,"18",3,6,"866",2,0,"4",2,1,"2",3,"25",1,1,"1",3,"1",0,1,48.111111111111114,0,0,"0",34.64
"2",1,"24",3,4,"915",4,3,"4",0,2,"2",0,"29",0,1,"1",1,"1",0,1,38.125,1,0,"0",31.551724137931036
"1",3,"6",3,6,"1595",2,1,"3",3,2,"2",1,"51",1,1,"1",1,"2",0,1,265.8333333333333,3,4,"0",31.274509803921568
"1",3,"12",1,0,"1185",2,0,"3",0,2,"2",3,"27",1,1,"2",1,"1",0,1,98.75,1,4,"0",43.888888888888886
"1",3,"6",4,4,"1204",0,0,"4",3,2,"1",2,"35",0,2,"1",1,"1",0,0,200.66666666666663,1,4,"1",34.4
"1",1,"6",1,4,"666",3,1,"3",0,2,"4",3,"39",1,1,"2",3,"1",1,1,111.0,2,4,"0",17.076923076923077
"1",1,"12",3,3,"1657",2,0,"2",3,2,"2",3,"27",1,1,"1",1,"1",0,1,138.08333333333334,1,4,"0",61.370370370370374
"1",1,"24",3,6,"1603",2,3,"4",0,2,"4",0,"55",1,1,"1",1,"1",0,1,66.79166666666667,3,0,"0",29.145454545454545
"1",1,"18",1,4,"5302",2,3,"2",3,2,"4",2,"36",1,0,"3",0,"1",1,1,294.55555555555554,2,0,"0",147.27777777777777
"2",0,"15",3,6,"802",2,3,"4",3,2,"3",0,"37",1,1,"1",1,"2",0,1,53.46666666666667,2,0,"0",21.675675675675677
"1",3,"36",1,0,"6304",4,3,"4",3,2,"4",3,"36",1,1,"2",1,"1",0,1,175.11111111111111,2,1,"0",175.11111111111111
"2",1,"14",3,4,"8978",2,3,"1",1,2,"4",1,"45",1,1,"1",0,"1",1,0,641.2857142857143,2,0,"0",199.51111111111112
"1",3,"12",1,3,"1402",1,1,"3",0,2,"4",0,"37",1,2,"1",1,"1",1,1,116.83333333333331,2,4,"1",37.891891891891895
"1",0,"48",0,4,"12169",4,4,"4",3,0,"4",2,"36",1,0,"1",0,"1",1,1,253.52083333333337,2,2,"0",338.02777777777777
"1",3,"24",3,6,"1901",0,0,"4",3,2,"4",0,"29",1,2,"1",0,"1",1,1,79.20833333333333,1,0,"1",65.55172413793103
"1",0,"24",1,4,"3878",0,2,"4",1,2,"2",0,"37",1,1,"1",1,"1",1,1,161.58333333333334,2,0,"0",104.8108108108108
"2",1,"24",2,6,"1024",2,2,"4",2,2,"4",3,"48",2,1,"1",1,"1",0,1,42.666666666666664,3,0,"0",21.333333333333332
"1",3,"48",1,0,"7629",4,3,"4",1,2,"2",0,"46",0,1,"2",0,"2",0,1,158.9375,3,2,"0",165.84782608695653
"2",3,"48",1,4,"10127",1,0,"2",3,2,"2",2,"44",0,0,"1",1,"1",0,1,210.97916666666663,2,2,"0",230.1590909090909
"1",0,"9",3,4,"276",2,0,"4",2,2,"4",3,"22",1,2,"1",3,"1",0,1,30.666666666666668,0,4,"1",12.545454545454543
"1",3,"24",3,3,"5511",0,0,"4",3,2,"1",0,"25",2,1,"1",1,"1",0,1,229.625,0,0,"0",220.44
"1",1,"12",3,3,"708",2,0,"2",3,1,"3",1,"38",1,1,"1",3,"2",0,1,59.0,2,4,"0",18.63157894736842
"1",2,"36",3,6,"4473",2,3,"4",3,2,"2",0,"31",1,1,"1",1,"1",0,1,124.25,1,1,"0",144.29032258064515
"2",1,"24",4,3,"4110",2,3,"3",3,2,"4",2,"23",0,2,"2",1,"2",0,1,171.25,0,0,"1",178.69565217391303
"1",0,"13",3,6,"2101",2,2,"2",0,1,"4",1,"23",1,1,"1",3,"1",0,1,161.6153846153846,0,0,"0",91.34782608695652
"2",1,"15",3,1,"1275",4,0,"4",0,2,"2",0,"24",1,2,"1",1,"1",0,1,85.0,0,0,"1",53.125
"1",1,"24",3,3,"4169",2,0,"4",3,2,"4",1,"28",1,1,"1",1,"1",0,1,173.70833333333334,1,0,"0",148.89285714285714
"1",0,"13",1,6,"882",2,2,"4",3,1,"4",3,"23",1,1,"2",1,"1",0,1,67.84615384615384,0,0,"0",38.34782608695652
"2",0,"9",1,2,"1136",3,3,"4",3,2,"3",2,"32",1,0,"2",1,"2",0,1,126.22222222222224,1,4,"0",35.5
"2",1,"12",4,6,"6199",2,0,"4",3,2,"2",1,"28",1,2,"2",1,"1",1,1,516.5833333333334,1,4,"1",221.3928571428571
"2",1,"30",3,3,"2406",2,1,"4",0,2,"4",3,"23",1,2,"1",1,"1",0,1,80.2,0,1,"1",104.6086956521739
"1",3,"18",1,9,"3850",2,1,"3",3,2,"1",0,"27",1,1,"2",1,"1",0,1,213.88888888888889,1,0,"0",142.59259259259258
"1",1,"18",3,3,"3650",2,2,"1",0,2,"4",0,"22",1,2,"1",1,"1",0,1,202.77777777777777,0,0,"1",165.9090909090909
"1",3,"36",3,4,"3079",4,0,"4",3,2,"4",3,"36",1,1,"1",1,"1",0,1,85.52777777777777,2,1,"0",85.52777777777777
"1",3,"10",1,3,"2146",2,2,"1",0,2,"3",3,"23",1,2,"2",1,"1",0,1,214.6,0,4,"1",93.30434782608695
"1",1,"20",3,3,"2212",4,1,"4",3,2,"4",0,"39",1,1,"1",1,"1",1,1,110.6,2,0,"0",56.717948717948715
"1",3,"22",3,4,"1283",4,1,"4",0,2,"4",1,"25",1,2,"1",1,"1",0,1,58.31818181818182,0,0,"1",51.32
"1",1,"12",3,3,"2578",2,4,"3",0,2,"4",2,"55",1,0,"1",0,"1",0,1,214.83333333333337,3,4,"0",46.872727272727275
"2",0,"12",3,4,"1223",2,3,"1",1,2,"1",3,"46",1,2,"2",1,"1",0,1,101.91666666666669,3,4,"1",26.58695652173913
"2",3,"24",2,0,"8648",2,2,"2",3,2,"2",0,"27",0,1,"2",1,"1",1,1,360.3333333333333,1,0,"0",320.2962962962963
"2",0,"24",3,6,"2039",2,2,"1",2,2,"1",1,"22",1,1,"1",1,"1",1,1,84.95833333333333,0,0,"0",92.6818181818182
"1",3,"24",1,9,"2197",4,1,"4",3,2,"4",0,"43",1,1,"2",1,"2",1,1,91.54166666666669,2,0,"0",51.093023255813954
"2",2,"12",1,4,"939",1,1,"4",2,2,"2",3,"28",1,1,"3",1,"1",1,1,78.25,1,4,"0",33.535714285714285
"1",0,"24",3,6,"1967",2,3,"4",0,2,"4",0,"20",1,1,"1",1,"1",1,1,81.95833333333333,0,0,"0",98.35
"2",3,"12",1,0,"2292",2,4,"4",3,2,"2",0,"42",2,1,"2",0,"1",1,1,191.0,2,4,"0",54.57142857142857
"1",3,"10",3,4,"1597",1,0,"3",3,2,"2",2,"40",1,2,"1",3,"2",0,0,159.7,2,4,"1",39.925
"2",1,"12",3,4,"2579",2,2,"4",3,2,"1",3,"33",1,1,"1",3,"2",0,1,214.91666666666663,1,4,"0",78.15151515151516
"1",0,"12",1,4,"958",2,1,"2",3,2,"3",3,"47",1,1,"2",3,"2",0,1,79.83333333333333,3,4,"0",20.382978723404257
"1",0,"18",3,9,"2779",2,0,"1",2,2,"3",0,"21",1,2,"1",1,"1",1,1,154.38888888888889,0,0,"1",132.33333333333334
"1",3,"9",3,3,"1313",2,3,"1",3,2,"4",0,"20",1,1,"1",1,"1",0,1,145.88888888888889,0,4,"0",65.65
"1",3,"5",3,0,"3448",2,1,"1",3,2,"4",3,"74",1,1,"1",3,"1",0,1,689.6,4,4,"0",46.5945945945946
"2",0,"24",3,5,"11328",2,0,"2",3,0,"3",0,"29",0,1,"2",0,"1",1,1,472.0,1,0,"0",390.6206896551725
"1",3,"24",1,7,"2058",2,0,"4",1,2,"2",3,"33",1,1,"2",1,"1",1,1,85.75,1,0,"0",62.36363636363637
"2",0,"12",3,6,"1484",4,0,"2",2,2,"1",3,"25",1,1,"1",1,"1",1,1,123.66666666666669,0,4,"0",59.36
"1",3,"12",3,4,"1884",2,3,"4",3,2,"4",0,"39",1,1,"1",0,"1",1,1,157.0,2,4,"0",48.30769230769231
"2",0,"48",1,3,"5096",2,0,"2",0,2,"3",0,"30",1,1,"1",0,"1",1,1,106.16666666666669,1,2,"0",169.86666666666667
"1",2,"12",3,3,"1424",4,3,"3",0,2,"4",3,"55",1,1,"1",0,"1",1,1,118.66666666666669,3,4,"0",25.89090909090909
"2",1,"24",3,4,"4817",2,1,"2",3,0,"3",1,"31",1,1,"1",1,"1",1,1,200.70833333333337,1,0,"0",155.38709677419354
"1",1,"36",3,3,"3620",2,0,"1",3,1,"2",1,"37",1,1,"1",1,"2",0,1,100.55555555555556,2,1,"0",97.83783783783784
"1",1,"15",3,4,"1721",2,2,"2",3,2,"3",3,"36",1,1,"1",1,"1",0,1,114.73333333333332,2,0,"0",47.80555555555556
"1",1,"24",3,9,"2924",2,0,"3",3,1,"4",2,"63",0,1,"1",1,"2",1,1,121.83333333333331,4,0,"0",46.41269841269841
"1",3,"24",2,9,"4679",2,1,"3",3,2,"3",0,"35",1,1,"2",3,"1",1,1,194.95833333333337,1,0,"0",133.68571428571428
"1",3,"39",3,9,"2569",1,0,"4",3,2,"4",0,"24",1,1,"1",1,"1",0,1,65.87179487179488,0,2,"0",107.04166666666669
